Evap_ID,Treat,initial_date,initial_pollen_wt,initial_sucrose_wt,final_date,final_pollen_wt,final_sucrose_wt,net_pollen,net_sucrose
e1,Dandelion,12/9/21,0.1855,25.17,12/11/21,0.1804,24.14,0.0051,1.03
e2,Sumac,12/9/21,0.1954,25.99,12/11/21,0.1762,25.04,0.0192,0.95
e3,Hawthorn,12/9/21,0.1917,22.49,12/11/21,0.1637,21.48,0.028,1.01
e4,Dandelion + Sumac,12/9/21,0.1962,23.98,12/11/21,0.1873,23.04,0.0089,0.94
e5,Dandelion + Hawthorn,12/9/21,0.2009,24.44,12/11/21,0.1926,23.61,0.0083,0.83
e6,Sumac + Hawthorn,12/9/21,0.1964,24.72,12/11/21,0.1764,23.76,0.02,0.96
e7,Dandelion + Sumac + Hawthorn,12/9/21,0.1999,18.78,12/11/21,0.1852,17.75,0.0147,1.03
e8,Dandelion,12/13/21,0.3006,24.92,12/15/21,0.2941,23.98,0.0065,0.94
e9,Sumac,12/13/21,0.2007,26.12,12/15/21,0.1819,25.28,0.0188,0.84
e10,Hawthorn,12/13/21,0.2192,26.45,12/15/21,0.1957,25.45,0.0235,1
e11,Dandelion + Sumac,12/13/21,0.2246,22.81,12/15/21,0.2109,21.79,0.0137,1.02
e12,Dandelion + Hawthorn,12/13/21,0.3496,20.95,12/15/21,0.3318,19.93,0.0178,1.02
e13,Sumac + Hawthorn,12/13/21,0.2051,20.04,12/15/21,0.1832,18.92,0.0219,1.12
e14,Dandelion + Sumac + Hawthorn,12/13/21,0.22,22.7,12/15/21,0.2053,21.81,0.0147,0.89